request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,168.75,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1100 minimum protected.
request_29,12053.57,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-23. None of the available options keeps the ZAR 28300 minimum protected.
request_30,775.2,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-06. None of the available options keeps the USD 900 minimum protected.
request_31,1407701.31,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the IDR 16588900 minimum protected.
request_32,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35700 minimum protected.
request_33,42987.17,affordable_later,wait,2026-02-13:118000,2026-02-13,none,"Wait until 2026-02-13, then pay INR 118000 in full. Paying sooner would put the INR 102100 minimum at risk."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,23231.9,affordable_later,wait,2026-01-13:212000,2026-01-13,none,"Wait until 2026-01-13, then pay INR 212000 in full. Paying sooner would put the INR 106400 minimum at risk."
request_36,684.99,affordable_later,wait,2026-08-14:3954,2026-08-14,none,"Wait until 2026-08-14, then pay USD 3954 in full. Paying sooner would put the USD 2400 minimum at risk."
request_37,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17056200 minimum protected.
request_38,261.06,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,"Wait until 2025-09-13, then pay EUR 971.3 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,150333.02,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Wait until 2026-04-15, then pay INR 208600 in full. Paying sooner would put the INR 213400 minimum at risk."
request_40,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1500 minimum protected.
request_41,10825258.46,affordable_later,wait,2025-12-14:38760000,2025-12-14,none,"Wait until 2025-12-14, then pay IDR 38760000 in full. Paying sooner would put the IDR 25366600 minimum at risk."
request_42,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the INR 113100 minimum protected.
request_43,9777449.1,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,"Wait until 2024-11-13, then pay IDR 43339000 in full. Paying sooner would put the IDR 21398000 minimum at risk."
request_44,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the INR 82900 minimum protected.
request_45,3708937.39,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,"Wait until 2026-09-13, then pay IDR 21983000 in full. Paying sooner would put the IDR 11149800 minimum at risk."
request_46,30296.41,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-09. None of the available options keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,11534518.9,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20275700 minimum protected.
request_50,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-21. None of the available options keeps the INR 99700 minimum protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,23176.01,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 2024-06-14, then pay INR 28870 in full. Paying sooner would put the INR 41500 minimum at risk."
request_53,508.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-20. None of the available options keeps the USD 2100 minimum protected.
request_54,2900.44,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37000 minimum protected.
request_55,124785.47,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-22. None of the available options keeps the INR 124300 minimum protected.
request_56,688.96,affordable_with_plan,partial_payment,2025-02-03:688.96|2025-02-15:192.6,2025-02-15,none,Pay USD 688.96 today then USD 192.6 on 2025-02-15. This keeps the USD 2100 minimum protected.
request_57,14668.81,affordable_later,wait,2026-05-14:61446,2026-05-14,none,"Wait until 2026-05-14, then pay ZAR 61446 in full. Paying sooner would put the ZAR 42700 minimum at risk."
request_58,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-25. None of the available options keeps the IDR 14433900 minimum protected.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use installments totalling INR 146223.99 starting 2025-05-07. This leaves at least INR 132600 available.
request_60,101.01,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-04. None of the available options keeps the USD 400 minimum protected.
request_61,21749.43,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 36700 minimum protected.
